respondent_id;question;charachteristic;response
114762892402;What temporal resolution of camera trap data would you like to be shared with you?;Exact date/times;Not at all desirable (-2)
114762892402;What temporal resolution of camera trap data would you like to be shared with you?;Daily summaries;Not at all desirable (-2)
114762892402;What temporal resolution of camera trap data would you like to be shared with you?;Weekly summaries;Not at all desirable (-2)
114762892402;What temporal resolution of camera trap data would you like to be shared with you?;Monthly summaries;Not at all desirable (-2)
114762892402;What temporal resolution of camera trap data would you like to be shared with you?;Yearly summaries;Not at all desirable (-2)
114761515324;What temporal resolution of camera trap data would you like to be shared with you?;Exact date/times;Not desirable (-1)
114761515324;What temporal resolution of camera trap data would you like to be shared with you?;Daily summaries;Neutral (0)
114761515324;What temporal resolution of camera trap data would you like to be shared with you?;Weekly summaries;Neutral (0)
114761515324;What temporal resolution of camera trap data would you like to be shared with you?;Monthly summaries;Neutral (0)
114761515324;What temporal resolution of camera trap data would you like to be shared with you?;Yearly summaries;Neutral (0)
114761370340;What temporal resolution of camera trap data would you like to be shared with you?;Exact date/times;Very desirable (2)
114761370340;What temporal resolution of camera trap data would you like to be shared with you?;Daily summaries;Very desirable (2)
114761370340;What temporal resolution of camera trap data would you like to be shared with you?;Weekly summaries;Very desirable (2)
114761370340;What temporal resolution of camera trap data would you like to be shared with you?;Monthly summaries;Very desirable (2)
114761370340;What temporal resolution of camera trap data would you like to be shared with you?;Yearly summaries;Very desirable (2)
114761367399;What temporal resolution of camera trap data would you like to be shared with you?;Exact date/times;Neutral (0)
114761367399;What temporal resolution of camera trap data would you like to be shared with you?;Daily summaries;Neutral (0)
114761367399;What temporal resolution of camera trap data would you like to be shared with you?;Weekly summaries;Not desirable (-1)
114761367399;What temporal resolution of camera trap data would you like to be shared with you?;Monthly summaries;Desirable (1)
114761367399;What temporal resolution of camera trap data would you like to be shared with you?;Yearly summaries;Desirable (1)
114761357836;What temporal resolution of camera trap data would you like to be shared with you?;Exact date/times;Desirable (1)
114761357836;What temporal resolution of camera trap data would you like to be shared with you?;Daily summaries;Desirable (1)
114761357836;What temporal resolution of camera trap data would you like to be shared with you?;Weekly summaries;Desirable (1)
114761357836;What temporal resolution of camera trap data would you like to be shared with you?;Monthly summaries;Desirable (1)
114761357836;What temporal resolution of camera trap data would you like to be shared with you?;Yearly summaries;Desirable (1)
