respondent_id;question;charachteristic;response
114762892402;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Exact dates/times;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Daily summaries;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Weekly summaries;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Monthly summaries;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Annual summaries;Not at all willing (-2)
114761515324;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Exact dates/times;Neutral (0)
114761515324;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Daily summaries;Neutral (0)
114761515324;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Weekly summaries;Neutral (0)
114761515324;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Monthly summaries;Neutral (0)
114761515324;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Annual summaries;Neutral (0)
114761370340;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Exact dates/times;Neutral (0)
114761370340;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Daily summaries;Willing (1)
114761370340;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Weekly summaries;Very willing (2)
114761370340;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Monthly summaries;Very willing (2)
114761370340;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Annual summaries;Very willing (2)
114761367399;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Exact dates/times;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Daily summaries;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Weekly summaries;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Monthly summaries;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Annual summaries;Not willing (-1)
114761357836;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Exact dates/times;Very willing (2)
114761357836;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Daily summaries;Very willing (2)
114761357836;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Weekly summaries;Very willing (2)
114761357836;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Monthly summaries;Very willing (2)
114761357836;For your study species your are willing to share data about, at what temporal resolution are you willing to share your data?;Annual summaries;Very willing (2)
