respondent_id;question;charachteristic;response
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Exact coordinates;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Coordinates with a random error term;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Grid cells (e.g. 10 x 10 km grid cells);Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Study site level;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Municipality level;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Regional level;Not at all willing (-2)
114762892402;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;National level;Not at all willing (-2)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Exact coordinates;Willing (1)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Coordinates with a random error term;Willing (1)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Grid cells (e.g. 10 x 10 km grid cells);Very willing (2)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Study site level;Neutral (0)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Municipality level;Neutral (0)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Regional level;Neutral (0)
114761515324;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;National level;Neutral (0)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Exact coordinates;Not willing (-1)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Coordinates with a random error term;Willing (1)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Grid cells (e.g. 10 x 10 km grid cells);Very willing (2)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Study site level;Very willing (2)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Municipality level;Very willing (2)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Regional level;Very willing (2)
114761370340;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;National level;Very willing (2)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Exact coordinates;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Coordinates with a random error term;Neutral (0)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Grid cells (e.g. 10 x 10 km grid cells);Not willing (-1)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Study site level;Not at all willing (-2)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Municipality level;Not willing (-1)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Regional level;Willing (1)
114761367399;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;National level;Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Exact coordinates;Willing (1)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Coordinates with a random error term;Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Grid cells (e.g. 10 x 10 km grid cells);Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Study site level;Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Municipality level;Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;Regional level;Very willing (2)
114761357836;For your study species your are willing to share data about, at what geographical resolution are you willing to share your data?;National level;Very willing (2)
