respondent_id;question;response
114762892402;What country/countries are your activities based in? Multiple answers are possible.;Belgium
114761515324;What country/countries are your activities based in? Multiple answers are possible.;Belgium
114761515324;What country/countries are your activities based in? Multiple answers are possible.;Sweden
114761515324;What country/countries are your activities based in? Multiple answers are possible.;Plopsaland
114761370340;What country/countries are your activities based in? Multiple answers are possible.;North Macedonia
114761370340;What country/countries are your activities based in? Multiple answers are possible.;Norway
114761367399;What country/countries are your activities based in? Multiple answers are possible.;Andorra
114761367399;What country/countries are your activities based in? Multiple answers are possible.;Bulgaria
114761367399;What country/countries are your activities based in? Multiple answers are possible.;Liechtenstein
114761357836;What country/countries are your activities based in? Multiple answers are possible.;Norway
