respondent_id;question;charachteristic;response
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating data storage and organisation (pictures, metadata, locations, etc.);Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to delete human images for privacy purposes;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to help classify / identify species;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal distance from camera;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal traits (colour, antlers, sex, age, condition etc);Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;Standardisation of export files between projects;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;Easy to use;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;Widely used amongst peers;Not at all important (-2)
114762892402;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating collaboration between projects/peers;Not at all important (-2)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating data storage and organisation (pictures, metadata, locations, etc.);Very important (2)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to delete human images for privacy purposes;Important (1)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to help classify / identify species;Very important (2)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal distance from camera;Neutral (0)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal traits (colour, antlers, sex, age, condition etc);Not important (-1)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;Standardisation of export files between projects;Very important (2)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;Easy to use;Very important (2)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;Widely used amongst peers;Not important (-1)
114761515324;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating collaboration between projects/peers;Important (1)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating data storage and organisation (pictures, metadata, locations, etc.);Very important (2)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to delete human images for privacy purposes;Very important (2)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to help classify / identify species;Very important (2)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal distance from camera;Important (1)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal traits (colour, antlers, sex, age, condition etc);Neutral (0)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;Standardisation of export files between projects;Important (1)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;Easy to use;Very important (2)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;Widely used amongst peers;Very important (2)
114761370340;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating collaboration between projects/peers;Very important (2)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating data storage and organisation (pictures, metadata, locations, etc.);Not important (-1)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to delete human images for privacy purposes;Important (1)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to help classify / identify species;Neutral (0)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal distance from camera;Important (1)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal traits (colour, antlers, sex, age, condition etc);Very important (2)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;Standardisation of export files between projects;Very important (2)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;Easy to use;Not important (-1)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;Widely used amongst peers;Not important (-1)
114761367399;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating collaboration between projects/peers;Not important (-1)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating data storage and organisation (pictures, metadata, locations, etc.);Neutral (0)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to delete human images for privacy purposes;Important (1)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools to help classify / identify species;Very important (2)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal distance from camera;Very important (2)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;AI tools for estimating animal traits (colour, antlers, sex, age, condition etc);Important (1)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;Standardisation of export files between projects;Important (1)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;Easy to use;Very important (2)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;Widely used amongst peers;Important (1)
114761357836;How important do you rate the following characteristics of potential camera trap data management tools?;Facilitating collaboration between projects/peers;Important (1)
