respondent_id;question;charachteristic;response
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Willingness to share;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Technical barriers;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Formal barriers (e.g. legal barriers);A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of data validation/checking;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of getting the data in the right format;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Economic constraints;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of somebody else publishing my data before me;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being misinterpreted;A very big issue (-2)
114762892402;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being used to harm animals;A very big issue (-2)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Willingness to share;Neutral (0)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Technical barriers;Neutral (0)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Formal barriers (e.g. legal barriers);Not an issue (1)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of data validation/checking;Not an issue (1)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of getting the data in the right format;Neutral (0)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Economic constraints;An issue (-1)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of somebody else publishing my data before me;Neutral (0)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being misinterpreted;Neutral (0)
114761515324;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being used to harm animals;Neutral (0)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Willingness to share;Not an issue (1)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Technical barriers;A very big issue (-2)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Formal barriers (e.g. legal barriers);An issue (-1)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of data validation/checking;An issue (-1)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of getting the data in the right format;A very big issue (-2)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Economic constraints;A very big issue (-2)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of somebody else publishing my data before me;An issue (-1)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being misinterpreted;A very big issue (-2)
114761370340;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being used to harm animals;Neutral (0)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Willingness to share;Neutral (0)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Technical barriers;Not an issue (1)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Formal barriers (e.g. legal barriers);Not an issue (1)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of data validation/checking;Not an issue (1)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of getting the data in the right format;Not an issue (1)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Economic constraints;Neutral (0)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of somebody else publishing my data before me;Neutral (0)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being misinterpreted;An issue (-1)
114761367399;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being used to harm animals;Neutral (0)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Willingness to share;An issue (-1)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Technical barriers;Not an issue (1)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Formal barriers (e.g. legal barriers);An issue (-1)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of data validation/checking;Neutral (0)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Time constraints of getting the data in the right format;Neutral (0)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Economic constraints;Not an issue (1)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of somebody else publishing my data before me;A very big issue (-2)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being misinterpreted;Not an issue (1)
114761357836;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;Risk of data being used to harm animals;Not an issue (1)
