respondent_id;question;response
118779157898;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779158302;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;embargo
118779158322;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;None i can think of
118779166933;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779168565;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Facilitate the process for sharing. All data should be open.
118779175870;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779176001;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779176534;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;None. Just they're kept on an OA basis and in a reliable and permanente repository.
118779182177;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779190909;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;After publication and where cameras are no longer in place, data sharing would not be a problem for me as long as there is an easy way to do it. Camtrap DP is a great solution for that.
118779208150;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779214648;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Review the use of the data prior publication
118779217829;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779227922;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779242589;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779275557;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779290690;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779291561;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779296993;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779706639;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779747215;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Only making it publicly available after publication, automatically being co-author if someone uses my data in their paper.
118779788733;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;"Temporal and spatial resolution; for public availability, these should be considered differently than sharing data for any other purposes defined in previous questions (research, monitoring, management, EU/IUCN etc.)"
118779794570;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118779809291;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;For some species either a temporal delay in publishing or grid level locations
118779903990;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118780139487;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;That exact coordinates are only transmitted after prior contact or are not freely available on the website, but that these must be requested in advance or something. So that not everyone knows where the cameras are.     In the acknowledgements and in the material part, it should be stated where the data comes from, so I would do the same
118780673706;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;not if the projects are closed
118780861448;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118781570211;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118782513976;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Special considerations (e.g. trimmed coordinates, access only to researchers) for records of sensitive species (e.g. species of conservation concern), system to ensure co-authorship or citation of the dataset (e.g. a related data paper or publication).
118783048283;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;recognition
118783552654;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788497240;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788499643;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;hide exact coordinate for vulnerable species
118788501019;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788503983;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788504656;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788507970;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788511396;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Notification when and for what data is used and posibility to ban usage for specific projects
118788514469;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788565028;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;agreed use
118788602768;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;location precision
118788607461;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788622481;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788625159;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
118788632464;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;Ensure inclusion as a co-author in any future publication
118788652694;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;NA
