respondent_id;gender;age;degree;employment
118803434703;Male;31-45;PhD;Postdoc
118802743421;NA;NA;NA;NA
118802456952;Female;31-45;Master’s;Working on time-limited contracts
118801275003;Male;18-30;PhD;Postdoc
118801200761;Male;18-30;Master’s;Phd Student
118801135035;Female;18-30;PhD;Postdoc
118801110180;Female;31-45;PhD;Permanent employee
118801082106;NA;NA;NA;NA
118801074734;NA;NA;NA;NA
118801061185;NA;NA;NA;NA
118801056273;NA;NA;NA;NA
118801047535;Male;46-65;PhD;Permanent employee
118801044997;Female;31-45;PhD;Permanent employee
118801041617;NA;NA;NA;NA
118801041047;Male;46-65;Master’s;Permanent employee
118797829762;Male;46-65;PhD;Permanent employee
118796453735;Male;31-45;PhD;Working on time-limited contracts
118792325136;Male;46-65;PhD;Permanent employee
118790874163;Male;46-65;PhD;Permanent employee
118790522326;Male;31-45;PhD;Permanent employee
118790091455;NA;NA;NA;NA
118789445873;NA;NA;NA;NA
118789329246;Female;31-45;PhD;Working on time-limited contracts
118789159326;Male;31-45;PhD;Postdoc
118789097299;Male;31-45;PhD;Postdoc
118788875558;Male;46-65;PhD;Permanent employee
118788836377;Male;46-65;PhD;Permanent employee
118788834047;Prefer not to say;46-65;PhD;Other
118788729742;Male;31-45;PhD;Permanent employee
118788670632;Male;46-65;PhD;Permanent employee
118788652694;Male;46-65;PhD;Permanent employee
118788632464;Male;31-45;PhD;Postdoc
118788625159;Male;46-65;PhD;Permanent employee
118788622481;NA;NA;NA;NA
118788607461;NA;NA;NA;NA
118788602768;Male;46-65;PhD;Permanent employee
118788565028;Male;46-65;PhD;Permanent employee
118788514469;Female;46-65;PhD;Postdoc
118788511396;Female;31-45;Master’s;Permanent employee
118788507970;Male;46-65;PhD;Permanent employee
118788504656;NA;NA;NA;NA
118788503983;NA;NA;NA;NA
118788501019;NA;NA;NA;NA
118788499643;Female;31-45;PhD;Working on time-limited contracts
118788497240;NA;NA;NA;NA
118783552654;Female;46-65;PhD;Permanent employee
118783048283;Female;46-65;PhD;Permanent employee
118782513976;Female;31-45;PhD;Postdoc
118781570211;Female;31-45;PhD;Permanent employee
118780861448;Male;18-30;PhD;Working on time-limited contracts
118780673706;Male;46-65;PhD;Permanent employee
118780139487;Female;31-45;Master’s;Phd Student
118779903990;NA;NA;NA;NA
118779809291;Male;31-45;Master’s;Permanent employee
118779794570;Male;31-45;PhD;Postdoc
118779788733;Female;31-45;Master’s;Working on time-limited contracts
118779747215;Female;31-45;PhD;Postdoc
118779706639;NA;NA;NA;NA
118779296993;Male;46-65;PhD;Permanent employee
118779291561;Male;31-45;Master’s;Permanent employee
118779290690;NA;NA;NA;NA
118779275557;Male;46-65;PhD;Permanent employee
118779242589;NA;NA;NA;NA
118779227922;Female;18-30;Master’s;Phd Student
118779217829;NA;NA;NA;NA
118779214648;Male;31-45;PhD;Postdoc
118779208150;Male;31-45;PhD;Other
118779190909;Male;31-45;PhD;Permanent employee
118779182177;NA;NA;NA;NA
118779176534;Male;46-65;PhD;Permanent employee
118779176001;Male;31-45;PhD;Working on time-limited contracts
118779175870;Female;31-45;PhD;Working on time-limited contracts
118779168565;Male;31-45;PhD;Postdoc
118779166933;NA;NA;NA;NA
118779158322;Male;46-65;PhD;Working on time-limited contracts
118779158302;Male;46-65;PhD;Permanent employee
118779157898;Male;31-45;PhD;Postdoc
