respondent_id;question;charachteristic;response
114762892402;How desirable do you find the inclusion of the following features into data management tools?;Data exploration tools;Not at all desirable (-2)
114762892402;How desirable do you find the inclusion of the following features into data management tools?;Data analysis tools;Not at all desirable (-2)
114762892402;How desirable do you find the inclusion of the following features into data management tools?;Data visualisation tools;Not at all desirable (-2)
114762892402;How desirable do you find the inclusion of the following features into data management tools?;Reporting tools;Not at all desirable (-2)
114761515324;How desirable do you find the inclusion of the following features into data management tools?;Data exploration tools;Neutral (0)
114761515324;How desirable do you find the inclusion of the following features into data management tools?;Data analysis tools;Not at all desirable (-2)
114761515324;How desirable do you find the inclusion of the following features into data management tools?;Data visualisation tools;Not desirable (-1)
114761515324;How desirable do you find the inclusion of the following features into data management tools?;Reporting tools;Not desirable (-1)
114761370340;How desirable do you find the inclusion of the following features into data management tools?;Data exploration tools;Neutral (0)
114761370340;How desirable do you find the inclusion of the following features into data management tools?;Data analysis tools;Neutral (0)
114761370340;How desirable do you find the inclusion of the following features into data management tools?;Data visualisation tools;Not at all desirable (-2)
114761370340;How desirable do you find the inclusion of the following features into data management tools?;Reporting tools;Not at all desirable (-2)
114761367399;How desirable do you find the inclusion of the following features into data management tools?;Data exploration tools;Not at all desirable (-2)
114761367399;How desirable do you find the inclusion of the following features into data management tools?;Data analysis tools;Not desirable (-1)
114761367399;How desirable do you find the inclusion of the following features into data management tools?;Data visualisation tools;Neutral (0)
114761367399;How desirable do you find the inclusion of the following features into data management tools?;Reporting tools;Not desirable (-1)
114761357836;How desirable do you find the inclusion of the following features into data management tools?;Data exploration tools;Desirable (1)
114761357836;How desirable do you find the inclusion of the following features into data management tools?;Data analysis tools;Very desiarble (2)
114761357836;How desirable do you find the inclusion of the following features into data management tools?;Data visualisation tools;Desirable (1)
114761357836;How desirable do you find the inclusion of the following features into data management tools?;Reporting tools;Desirable (1)
