respondent_id;question;response
118779168565;Do you wish to mention any other research questions you are currently working on with camera traps?;n.a
118779176534;Do you wish to mention any other research questions you are currently working on with camera traps?;Recording plant-animal interactions.
118779190909;Do you wish to mention any other research questions you are currently working on with camera traps?;phenology
118779208150;Do you wish to mention any other research questions you are currently working on with camera traps?;Phenology and how it is evolving in response to climate change
118779242589;Do you wish to mention any other research questions you are currently working on with camera traps?;How anthropic activities shape mammals spatial and temporal ecology
118779291561;Do you wish to mention any other research questions you are currently working on with camera traps?;Zoonotic disease
118779706639;Do you wish to mention any other research questions you are currently working on with camera traps?;Chronobiology
118780673706;Do you wish to mention any other research questions you are currently working on with camera traps?;attraction of predator to camera traps
118783048283;Do you wish to mention any other research questions you are currently working on with camera traps?;multi-species interactions
118788511396;Do you wish to mention any other research questions you are currently working on with camera traps?;trapping effectiveness
118788514469;Do you wish to mention any other research questions you are currently working on with camera traps?;HUman wildlife interaction
118788602768;Do you wish to mention any other research questions you are currently working on with camera traps?;many
118788632464;Do you wish to mention any other research questions you are currently working on with camera traps?;The effects of human disturbance
118788670632;Do you wish to mention any other research questions you are currently working on with camera traps?;Activity levels as proxy for relative population levels between sample locations.
118788836377;Do you wish to mention any other research questions you are currently working on with camera traps?;Health issues
118788875558;Do you wish to mention any other research questions you are currently working on with camera traps?;ecological function
118792325136;Do you wish to mention any other research questions you are currently working on with camera traps?;Involvement of citizens with structured and unstructured surveys.
118797829762;Do you wish to mention any other research questions you are currently working on with camera traps?;impact of human disturbance (recreation / hunting)
118801044997;Do you wish to mention any other research questions you are currently working on with camera traps?;Prevalence of sking lesions associated to sarcoptic mange
118801047535;Do you wish to mention any other research questions you are currently working on with camera traps?;social communication
118801110180;Do you wish to mention any other research questions you are currently working on with camera traps?;Health aspect
118802743421;Do you wish to mention any other research questions you are currently working on with camera traps?;Cognition experiments, seed dispersal experiments
119020249109;Do you wish to mention any other research questions you are currently working on with camera traps?;N/A
119020263918;Do you wish to mention any other research questions you are currently working on with camera traps?;Individual identification based on camera trap footage
119020289798;Do you wish to mention any other research questions you are currently working on with camera traps?;Habitat preference (linked with presence and count data)
119020330770;Do you wish to mention any other research questions you are currently working on with camera traps?;methodological development
119020920353;Do you wish to mention any other research questions you are currently working on with camera traps?;Ecological Niche Modelling and REM (Random Encounter Models)
119020962533;Do you wish to mention any other research questions you are currently working on with camera traps?;Habitat overlap between sus scrofa and canis aureus  Social structure of canis aureis at different altitudes
119021033231;Do you wish to mention any other research questions you are currently working on with camera traps?;no
119021199025;Do you wish to mention any other research questions you are currently working on with camera traps?;Methodological issues
119021357437;Do you wish to mention any other research questions you are currently working on with camera traps?;Assess the effectiveness of conservation measures (e.g. to check whether artificial water troughs are used, to check whether artifical nest boxes are used etc.)
119022297166;Do you wish to mention any other research questions you are currently working on with camera traps?;Congruency of camera trap data with other monitoring methods (eDNA)
119022582832;Do you wish to mention any other research questions you are currently working on with camera traps?;No
119027677501;Do you wish to mention any other research questions you are currently working on with camera traps?;vegetation phenology
119027678677;Do you wish to mention any other research questions you are currently working on with camera traps?;Relationship woth anthropogenic pressures
119029337164;Do you wish to mention any other research questions you are currently working on with camera traps?;NO
119030842840;Do you wish to mention any other research questions you are currently working on with camera traps?;Effects of anthropogenic activities on all of the above, incl. changes in functional traits composition of communities
119030866340;Do you wish to mention any other research questions you are currently working on with camera traps?;Methodology of camera traps Sampling designs
