respondent_id;question;charachteristic;response
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Exact coordinates;Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Coordinates with a random error term;Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Grid cells (e.g. 10 x 10 km grid cells);Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Study site;Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Municipality level;Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;Regional level;Not at all desirable (-2)
114762892402;What geographical resolution of camera trap data would you like to be shared with you?;National level;Not at all desirable (-2)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Exact coordinates;Neutral (0)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Coordinates with a random error term;Neutral (0)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Grid cells (e.g. 10 x 10 km grid cells);Neutral (0)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Study site;Desirable (1)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Municipality level;Neutral (0)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;Regional level;Desirable (1)
114761515324;What geographical resolution of camera trap data would you like to be shared with you?;National level;Not desirable (-1)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Exact coordinates;Very desirable (2)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Coordinates with a random error term;Neutral (0)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Grid cells (e.g. 10 x 10 km grid cells);Neutral (0)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Study site;Neutral (0)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Municipality level;Neutral (0)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;Regional level;Neutral (0)
114761370340;What geographical resolution of camera trap data would you like to be shared with you?;National level;Neutral (0)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Exact coordinates;Very desirable (2)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Coordinates with a random error term;Very desirable (2)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Grid cells (e.g. 10 x 10 km grid cells);Desirable (1)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Study site;Desirable (1)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Municipality level;Desirable (1)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;Regional level;Neutral (0)
114761367399;What geographical resolution of camera trap data would you like to be shared with you?;National level;Very desirable (2)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Exact coordinates;Desirable (1)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Coordinates with a random error term;Desirable (1)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Grid cells (e.g. 10 x 10 km grid cells);Neutral (0)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Study site;Desirable (1)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Municipality level;Desirable (1)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;Regional level;Neutral (0)
114761357836;What geographical resolution of camera trap data would you like to be shared with you?;National level;Neutral (0)
