respondent_id;question;topic;response
118803434703;What are your camera trapping-related research questions?;Presence/absence;A big priority (2)
118803434703;What are your camera trapping-related research questions?;Trends in populations;A priority (1)
118803434703;What are your camera trapping-related research questions?;Densities (number of individuals per unit area);Not a priority (-1)
118803434703;What are your camera trapping-related research questions?;Abundance (number of individuals);Not a priority (-1)
118803434703;What are your camera trapping-related research questions?;Population abundance indices;A priority (1)
118803434703;What are your camera trapping-related research questions?;Distribution;A big priority (2)
118803434703;What are your camera trapping-related research questions?;Reproduction;Not a priority (-1)
118803434703;What are your camera trapping-related research questions?;Species interactions;A priority (1)
118803434703;What are your camera trapping-related research questions?;Behaviour;A priority (1)
118803434703;What are your camera trapping-related research questions?;Activity patterns;A priority (1)
118803434703;What are your camera trapping-related research questions?;Community structure;A priority (1)
118802743421;What are your camera trapping-related research questions?;Presence/absence;Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Trends in populations;Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Densities (number of individuals per unit area);Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Abundance (number of individuals);Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Population abundance indices;Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Distribution;Not at all a priority (-2)
118802743421;What are your camera trapping-related research questions?;Reproduction;A priority (1)
118802743421;What are your camera trapping-related research questions?;Species interactions;A priority (1)
118802743421;What are your camera trapping-related research questions?;Behaviour;A priority (1)
118802743421;What are your camera trapping-related research questions?;Activity patterns;A priority (1)
118802743421;What are your camera trapping-related research questions?;Community structure;Not at all a priority (-2)
118802456952;What are your camera trapping-related research questions?;Presence/absence;A big priority (2)
118802456952;What are your camera trapping-related research questions?;Trends in populations;A priority (1)
118802456952;What are your camera trapping-related research questions?;Densities (number of individuals per unit area);Neutral (0)
118802456952;What are your camera trapping-related research questions?;Abundance (number of individuals);A priority (1)
118802456952;What are your camera trapping-related research questions?;Population abundance indices;Neutral (0)
118802456952;What are your camera trapping-related research questions?;Distribution;A big priority (2)
118802456952;What are your camera trapping-related research questions?;Reproduction;A big priority (2)
118802456952;What are your camera trapping-related research questions?;Species interactions;Not a priority (-1)
118802456952;What are your camera trapping-related research questions?;Behaviour;Not a priority (-1)
118802456952;What are your camera trapping-related research questions?;Activity patterns;Neutral (0)
118802456952;What are your camera trapping-related research questions?;Community structure;Not a priority (-1)
118801275003;What are your camera trapping-related research questions?;Presence/absence;A big priority (2)
118801275003;What are your camera trapping-related research questions?;Trends in populations;A big priority (2)
118801275003;What are your camera trapping-related research questions?;Densities (number of individuals per unit area);A big priority (2)
118801275003;What are your camera trapping-related research questions?;Abundance (number of individuals);A big priority (2)
118801275003;What are your camera trapping-related research questions?;Population abundance indices;A big priority (2)
118801275003;What are your camera trapping-related research questions?;Distribution;A big priority (2)
118801275003;What are your camera trapping-related research questions?;Reproduction;A priority (1)
118801275003;What are your camera trapping-related research questions?;Species interactions;A big priority (2)
118801275003;What are your camera trapping-related research questions?;Behaviour;A priority (1)
118801275003;What are your camera trapping-related research questions?;Activity patterns;A priority (1)
118801275003;What are your camera trapping-related research questions?;Community structure;A priority (1)
118801200761;What are your camera trapping-related research questions?;Presence/absence;A big priority (2)
118801200761;What are your camera trapping-related research questions?;Trends in populations;A priority (1)
118801200761;What are your camera trapping-related research questions?;Densities (number of individuals per unit area);Neutral (0)
118801200761;What are your camera trapping-related research questions?;Abundance (number of individuals);A priority (1)
118801200761;What are your camera trapping-related research questions?;Population abundance indices;A priority (1)
118801200761;What are your camera trapping-related research questions?;Distribution;A big priority (2)
