respondent_id;question;charachteristic;response
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Valuable (1)
118803434703;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Valuable (1)
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);NA
118802743421;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;NA
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Valuable (1)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Valuable (1)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Neutral (0)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Valuable (1)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Very valuable (2)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Not valuable (-1)
118802456952;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Not valuable (-1)
118801275003;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Very valuable (2)
118801275003;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Very valuable (2)
118801275003;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Very valuable (2)
118801275003;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Very valuable (2)
118801275003;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Valuable (1)
