label_underscore;label
abundance_number_of_individuals;Abundance (number of individuals)
activity_patterns;Activity patterns
adaptive_management;Adaptive management
ai_tools_for_estimating_animal_distance_from_camera;AI tools for estimatng animal distance from camera
ai_tools_for_estimating_animal_traits_colour_antlers_sex_age_condition_etc;AI tools for estimatng animal traits (colour, antlers, sex, age, condition, etc.)
ai_tools_to_help_classify_identify_species;AI tools to help classify/identify species
ai_tools_to_remove_hide_images_containing_humans_for_privacy_purposes;AI tools to remove/hide images containing humans for privacy purposes
annual_summaries;Annual summaries
behaviour;Behaviour
community_structure;Community structure
continuously_with_a_short_time_delay_i_e_days_or_weeks;Continuously with a short time delay (i.e. days or weeks)
daily_summaries;Daily summaries
data_analysis_tools;Data analysis tools
data_exploration_tools;Data exploration tools
data_visualisation_tools;Data visualisation tools
densities_number_of_individuals_per_unit_area;Densities (number of individuals per unit area)
distribution;Distribution
easy_to_use;Easy to use
economic_constraints;Economic constraints
exact_coordinates;Exact coordinates
exact_date_times;Exact dates/times
exact_dates_times;Exact dates/times
facilitating_collaboration_between_projects_peers;Facilitating collaboration between projects/peers
facilitating_data_storage_and_organisation_pictures_metadata_locations_etc;Facilitating data storage and organisation (pictures, metadata, locations, etc.)
formal_barriers_e_g_legal_barriers;Formal barriers (e.g. legal barriers)
fundamental_research;Fundamental research
generalized_less_precise_coordinates;Generalised (less precise) coordinates
grid_cells_e_g_10_x_10_km_grid_cells;Grid cells (e.g. 10x10km)
immediately_when_uploaded_from_the_field;Immediately when uploaded from the field
inclusion_as_a_co_author_on_all_resulting_publications;Inclusion as a co-author on all resulting publications
iucn_red_list_assessments;IUCN Red List assessments
making_the_raw_data_open_access_for_reuse;Making the raw data open access for reuse
monitoring;Monitoring
monthly_summaries;Monthly summaries
municipality_level;Municipality level
national_level_species_status_reporting_e_g_to_eu_or_cbd;National level species status eporting (e.g. to EU or CBD)
national_level;National level
outreach_and_communication;Outreach and communication
periodically_during_an_ongoing_project_annually;Periodically during an ongoing project (annually)
periodically_during_an_ongoing_project_e_g_monthly_bi_monthly;Periodically during an ongoing project (monthly, bi-monthly)
policy_making;Policy making
population_abundance_indices;Population abundance indices
trends_in_populations;Population trends
presence_absence;Presence/absence
prior_co_authorship_of_a_data_paper;Prior co-authorship of a data paper
regional_level;Regional level
reporting_tools;Reporting tools
reproduction;Reproduction
responding_to_case_by_case_requests_for_specific_uses;Responding to case by case requests for specific uses
risk_of_data_being_misinterpreted;Risk of data being misinterpreted
risk_of_data_being_used_to_harm_animals;Risk of data being used to harm animals
risk_of_somebody_else_publishing_my_data_before_me;Risk of somebody else publishing my data before me
species_interactions;Species interactions
standardisation_of_export_files_between_projects;Standardisation of export files between projects
study_site;Study site
study_site_level;Study site level
technical_barriers;Technical barriers
time_constraints_of_getting_the_data_in_the_right_format;Time constraints (of.t thedatain the time)
time_constraints_of_data_validation_checking;Time constraints of data validation/checking
upon_request;Upon requesy
weekly_summaries;Weekly summaries
when_project_is_completed_or_data_is_published;When project is completed or data is published
widely_used_amongst_peers;Widely used amongst peers
willingness_to_share;Willingness to share
written_data_sharing_agreements;Written data sharing agreements
yearly_summaries;Yearly summaries
