nr;code;question;question_export
1;q1;What country/countries are your activities based in? Multiple answers are possible.;what_country_countries_are_your_activities_based_in_multiple_answers_are_possible
2;q2;What country is your primary affiliation located in?;what_country_is_your_primary_affiliation_located_in
3;q3;How would you classify your primary affiliation?;how_would_you_classify_your_primary_affiliation
4;q4;At what administrative level does your primary affiliation work?;at_what_administrative_level_does_your_primary_affiliation_work
5;q5;What role do you play in camera trapping-related research?;what_role_do_you_play_in_camera_trapping_related_research
6;q6;What are your camera trapping-related research questions?;what_are_your_camera_trapping_related_research_questions
7;q7;Do you wish to mention any other research questions you are currently working on with camera traps?;do_you_wish_to_mention_any_other_research_questions_you_are_currently_working_on_with_camera_traps
8;q8;How important do you rate the following characteristics of potential camera trap data management tools?;how_important_do_you_rate_the_following_characteristics_of_potential_camera_trap_data_management_tools
9;q9;How desirable do you find the inclusion of the following features into data management tools?;how_desirable_do_you_find_the_inclusion_of_the_following_features_into_data_management_tools
10;q10;Which of your study species would you be willing to share data about?;which_of_your_study_species_would_you_be_willing_to_share_data_about
11;q11;Which of your study species, if any, would you be unwilling to share data about and why?;which_of_your_study_species_if_any_would_you_be_unwilling_to_share_data_about_and_why
12;q12;For the study species your are willing to share data about, at what geographical resolution are you willing to share your data?;for_the_study_species_your_are_willing_to_share_data_about_at_what_geographical_resolution_are_you_willing_to_share_your_data
13;q13;For the study species your are willing to share data about, at what temporal resolution are you willing to share your data?;for_the_study_species_your_are_willing_to_share_data_about_at_what_temporal_resolution_are_you_willing_to_share_your_data
14;q14;For the study species your are willing to share data about, at what frequency are you willing to share your data?;for_the_study_species_your_are_willing_to_share_data_about_at_what_frequency_are_you_willing_to_share_your_data
15;q15;Would the following safeguards positively influence your willingness to share data, for the species mentioned in Q11 and Q12?;would_the_following_safeguards_positively_influence_your_willingness_to_share_data_for_the_species_mentioned_in_q11_and_q12
16;q16;How willing are you to share data for the following purposes?;how_willing_are_you_to_share_data_for_the_following_purposes
17;q17;How much of an issue do you consider the following obstacles to be in regards to sharing your camera trap data?;how_much_of_an_issue_do_you_consider_the_following_obstacles_to_be_in_regards_to_sharing_your_camera_trap_data
18;q18;What geographical resolution of camera trap data would you like to be shared with you?;what_geographical_resolution_of_camera_trap_data_would_you_like_to_be_shared_with_you
19;q19;What temporal resolution of camera trap data would you like to be shared with you?;what_temporal_resolution_of_camera_trap_data_would_you_like_to_be_shared_with_you
20;q20;How valuable do you think data from unstructured citizen science initiatives/projects (e.g. garden projects, opportunistic camera trapping) are for the following purposes?;how_valuable_do_you_think_data_from_unstructured_citizen_science_initiatives_projects_e_g_garden_projects_opportunistic_camera_trapping_are_for_the_following_purposes
21;q21;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;how_valuable_do_you_think_data_from_structured_citizen_science_e_g_targeted_camera_trapping_hunter_owned_camera_traps_are_for_the_following_purposes
22;q22;How willing are you to make your original camera trap images publicly available?;how_willing_are_you_to_make_your_original_camera_trap_images_publicly_available
23;q23;How willing are you to making your data (species records, not the images) freely public available?;how_willing_are_you_to_making_your_data_species_records_not_the_images_freely_public_available
24;q24;Are there some measures or safeguards that could be put into place to increase your willingness to make data openly available?;are_there_some_measures_or_safeguards_that_could_be_put_into_place_to_increase_your_willingness_to_make_data_openly_available
25;q25;What is your gender?;what_is_your_gender
26;q26;How old are you?;how_old_are_you
27;q27;What is the highest academic degree / educational level you have obtained?;what_is_the_highest_academic_degree_educational_level_you_have_obtained
28;q28;What is your current employment status?;what_is_your_current_employment_status
29;q29;Do you wish to be contacted to receive the results of this survey?;do_you_wish_to_be_contacted_to_receive_the_results_of_this_survey
30;q30;You have agreed to be contacted to receive the results of this survey. Please provide your email address.;you_have_agreed_to_be_contacted_to_receive_the_results_of_this_survey_please_provide_your_email_address
